No.	Time	Source	Destination	Protocol	Length	Info
1	0	192.168.50.156	142.250.217.74	TCP	62	52931 → 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM
2	0.255318	192.168.50.156	142.250.217.74	TCP	62	52932 → 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM
3	2.260847	192.168.50.156	142.250.69.202	TCP	66	52952 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
4	2.751511	192.168.50.156	142.251.33.106	TCP	62	52937 → 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM
5	4.865752	192.168.50.156	142.251.33.74	TCP	66	52957 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
6	4.867581	142.250.33.106	192.168.50.156	TCP	60	54144 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
7	5.11924	142.250.33.106	192.168.50.156	TCP	60	54144 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
8	5.11956	192.168.50.156	142.251.33.74	TCP	66	52958 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
9	5.261297	192.168.50.156	142.250.69.202	TCP	66	[TCP Retransmission] 52952 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
10	7.866285	192.168.50.156	142.251.33.74	TCP	66	[TCP Retransmission] 52957 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
11	8.119334	192.168.50.156	142.251.33.74	TCP	66	[TCP Retransmission] 52958 → 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
