No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000	192.168.50.152	192.168.50.156	TCP	60	2454 ¡ú 9 [SYN] Seq=0 Win=512 Len=0
2	1.000300	192.168.50.152	192.168.50.156	TCP	60	2455 ¡ú 10 [SYN] Seq=0 Win=512 Len=0
3	2.000486	192.168.50.152	192.168.50.156	TCP	60	2456 ¡ú 11 [SYN] Seq=0 Win=512 Len=0
4	3.000909	192.168.50.152	192.168.50.156	TCP	60	2457 ¡ú 12 [SYN] Seq=0 Win=512 Len=0
5	3.485126	192.168.50.156	180.163.252.201	TCP	55	50075 ¡ú 80 [ACK] Seq=1 Ack=1 Win=63328 Len=1
6	3.485217	180.163.252.201	192.168.50.156	TCP	60	80 ¡ú 50075 [ACK] Seq=1 Ack=2 Win=64240 Len=0
7	4.001727	192.168.50.152	192.168.50.156	TCP	60	2458 ¡ú 13 [SYN] Seq=0 Win=512 Len=0
8	5.002694	192.168.50.152	192.168.50.156	TCP	60	2459 ¡ú 14 [SYN] Seq=0 Win=512 Len=0
9	6.003606	192.168.50.152	192.168.50.156	TCP	60	2460 ¡ú 15 [SYN] Seq=0 Win=512 Len=0
10	7.004123	192.168.50.152	192.168.50.156	TCP	60	2461 ¡ú 16 [SYN] Seq=0 Win=512 Len=0
11	8.004933	192.168.50.152	192.168.50.156	TCP	60	2462 ¡ú 17 [SYN] Seq=0 Win=512 Len=0
12	9.005666	192.168.50.152	192.168.50.156	TCP	60	2463 ¡ú 18 [SYN] Seq=0 Win=512 Len=0
13	10.006694	192.168.50.152	192.168.50.156	TCP	60	2464 ¡ú 19 [SYN] Seq=0 Win=512 Len=0
14	11.006943	192.168.50.152	192.168.50.156	TCP	60	2465 ¡ú 20 [SYN] Seq=0 Win=512 Len=0
15	11.067655	fe80::ffff:ffff:fffe	ff02::2	ICMPv6	103	Router Solicitation
16	11.312020	fe80::8000:f227:d7ae:87d3	fe80::ffff:ffff:fffe	ICMPv6	151	Router Advertisement
17	12.007329	192.168.50.152	192.168.50.156	TCP	60	2466 ¡ú 21 [SYN] Seq=0 Win=512 Len=0
18	12.007397	192.168.50.156	192.168.50.152	TCP	58	21 ¡ú 2466 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460
19	12.007546	192.168.50.152	192.168.50.156	TCP	60	2466 ¡ú 21 [RST] Seq=1 Win=0 Len=0
20	13.007438	192.168.50.152	192.168.50.156	TCP	60	2467 ¡ú 22 [SYN] Seq=0 Win=512 Len=0
21	14.008374	192.168.50.152	192.168.50.156	TCP	60	2468 ¡ú 23 [SYN] Seq=0 Win=512 Len=0
22	15.009114	192.168.50.152	192.168.50.156	TCP	60	2469 ¡ú 24 [SYN] Seq=0 Win=512 Len=0
23	16.009926	192.168.50.152	192.168.50.156	TCP	60	2470 ¡ú 25 [SYN] Seq=0 Win=512 Len=0
24	16.809436	VMware_bf:0a:c7	VMware_7a:15:6b	ARP	42	Who has 192.168.50.152? Tell 192.168.50.156
25	16.809586	VMware_7a:15:6b	VMware_bf:0a:c7	ARP	60	192.168.50.152 is at 00:0c:29:7a:15:6b
26	17.011013	192.168.50.152	192.168.50.156	TCP	60	2471 ¡ú 26 [SYN] Seq=0 Win=512 Len=0
27	18.011616	192.168.50.152	192.168.50.156	TCP	60	2472 ¡ú 27 [SYN] Seq=0 Win=512 Len=0
28	19.012681	192.168.50.152	192.168.50.156	TCP	60	2473 ¡ú 28 [SYN] Seq=0 Win=512 Len=0
29	20.013660	192.168.50.152	192.168.50.156	TCP	60	2474 ¡ú 29 [SYN] Seq=0 Win=512 Len=0
30	20.497454	192.168.50.156	180.163.228.250	TCP	66	63571 ¡ú 80 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
31	20.503502	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63571 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
32	20.503580	192.168.50.156	180.163.228.250	TCP	54	63571 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
33	20.514494	192.168.50.156	180.163.228.250	TCP	336	63571 ¡ú 80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=282 [TCP PDU reassembled in 35]
34	20.514739	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63571 [ACK] Seq=1 Ack=283 Win=64240 Len=0
35	20.514757	192.168.50.156	180.163.228.250	HTTP	712	POST /cloudquery.php HTTP/1.1 
36	20.514860	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63571 [ACK] Seq=1 Ack=941 Win=64240 Len=0
37	20.558506	180.163.228.250	192.168.50.156	HTTP	620	HTTP/1.1 200 OK  (application/octet-stream)
38	20.558711	192.168.50.156	180.163.228.250	TCP	54	63571 ¡ú 80 [FIN, ACK] Seq=941 Ack=567 Win=63674 Len=0
39	20.558835	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63571 [ACK] Seq=567 Ack=942 Win=64239 Len=0
40	20.565306	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63571 [FIN, PSH, ACK] Seq=567 Ack=942 Win=64239 Len=0
41	20.565361	192.168.50.156	180.163.228.250	TCP	54	63571 ¡ú 80 [ACK] Seq=942 Ack=568 Win=63674 Len=0
42	21.014190	192.168.50.152	192.168.50.156	TCP	60	2475 ¡ú 30 [SYN] Seq=0 Win=512 Len=0
43	22.014741	192.168.50.152	192.168.50.156	TCP	60	2476 ¡ú 31 [SYN] Seq=0 Win=512 Len=0
44	23.015830	192.168.50.152	192.168.50.156	TCP	60	2477 ¡ú 32 [SYN] Seq=0 Win=512 Len=0
45	23.991577	192.168.50.152	192.168.50.156	TCP	60	2478 ¡ú 33 [SYN] Seq=0 Win=512 Len=0
46	25.016898	192.168.50.152	192.168.50.156	TCP	60	2479 ¡ú 34 [SYN] Seq=0 Win=512 Len=0
47	26.017748	192.168.50.152	192.168.50.156	TCP	60	2480 ¡ú 35 [SYN] Seq=0 Win=512 Len=0
48	26.451884	192.168.50.156	1.192.136.133	UDP	86	10156 ¡ú 80 Len=44
