实际值	预测值
1	0.99905664
1	1.0982907
1	1.120162
1	0.9951484
1	1.0805334
1	0.9983785
1	0.9965459
1	0.9977835
1	1.0004375
1	0.9934734
1	1.0497156
1	1.028831
1	0.98817754
1	0.935914
1	0.99961364
1	0.99991757
1	1.1465639
1	0.93826866
1	0.981819
1	1.0030799
1	0.95978934
1	0.9999406
1	0.9626302
1	1.0356772
1	1.000055
1	1.0060998
1	0.99915063
1	0.9260227
1	0.9979879
1	0.9820157
1	1.1989704
1	0.99637073
1	0.99933803
1	0.9812598
1	1.0193013
1	1.0526605
1	0.98931545
1	0.9617771
1	1.0125799
1	0.9994929
1	0.999191
1	0.99902755
1	0.99779075
1	1.0483053
1	1.0021287
2	1.2360251
1	0.9981834
1	0.9521678
1	1.0054636
1	1.0059754
1	0.9900575
1	0.99206066
1	0.9947225
1	0.9978093
1	1.0008715
1	1.0010557
1	0.9804942
1	1.0001584
2	1.3452519
1	0.9939568
1	0.998994
1	1.0039151
1	0.9064734
1	1.000851
