日期,平均温度 (°F),平均湿度 (%),平均露点(°F),平均气压（英寸）,平均风速（mph）,平均阵风速度（mph）,平均方向（°deg）,月降水量（in）年,降水量（in ）,每分钟最大雨量,最高温度（°F）,最低温度（°F）,最高湿度（％）,最低湿度（％）,最高压力,最低压力,最大风速（mph）,最大阵风速度（mph）,最大热量指数（°F）,日期,月份,压力差
7/28/2020,60.5,61,45.3,29.7,4,6.2,248,0.35,4.49,0,92.7,46,94,35,29.792,29.675,17.3,26.5,77.6,7/28/2020,7,0.117
7/27/2020,61.7,64,47.4,29.9,2.2,4,66,0.33,4.47,0,91.8,43.6,96,35,29.941,29.781,13.8,18.4,78.2,7/27/2020,7,0.16
7/26/2020,60.6,68,48.9,29.8,1.7,2.9,357,0.33,4.47,0,91.6,50.5,90,40,29.93,29.745,11.5,15,77.5,7/26/2020,7,0.185
7/25/2020,62.8,60,48.1,29.7,2.5,4,242,0.33,4.47,0,91.6,55.1,90,36,29.781,29.645,8.1,17.3,77.5,7/25/2020,7,0.136
7/24/2020,64.1,62,49.8,29.6,3.6,5.8,240,0.24,4.38,0,91.6,55.3,86,35,29.686,29.577,15,25.3,77.4,7/24/2020,7,0.109
7/22/2020,65.4,52,42.7,29.6,4.2,6.7,230,0.12,4.26,0,90.8,46.9,93,14,29.707,29.583,16.1,25.3,82.6,7/22/2020,7,0.124
7/23/2020,67.1,48,45.2,29.6,5.3,8.6,228,0.23,4.37,0,90.7,54.8,87,26,29.668,29.571,19.6,24.2,79.7,7/23/2020,7,0.097
7/21/2020,65.3,60,49.8,29.6,3.7,6.3,38,0.12,4.26,0,90.7,46.8,88,31,29.71,29.568,13.8,19.6,79.5,7/21/2020,7,0.142
7/20/2020,70.1,35,37.4,29.6,4.9,8,293,0.12,4.26,0,90.6,54.4,74,9,29.65,29.505,17.3,27.6,82.3,7/20/2020,7,0.145
7/19/2020,66.6,38,39,29.6,3.7,5.7,226,0.12,4.26,0,90.5,50.2,64,16,29.679,29.602,18.4,25.3,79.1,7/19/2020,7,0.077
